#( 300 ; 0.226795 )
#( 350 ; 0.342176 )
#( 400 ; 0.498325 )
#( 450 ; 0.675523 )
#( 500 ; 1.01526 )
( 550 ; 1.34701 )
( 600 ; 1.8097 )
( 650 ; 2.14665 )
( 700 ; 2.51597 )
( 750 ; 3.17014 )
( 800 ; 3.9635 )
( 850 ; 4.74494 )
( 900 ; 5.43374 )
( 950 ; 6.5135 )
( 1000 ; 7.34569 )
( 1050 ; 9.07955 )
#ADDPOINTS
( 1100 ; 10.1806 )
( 1150 ; 12.3533 )
( 1200 ; 14.6665 )
( 1250 ; 16.1778 )
( 1300 ; 19.9928 )
( 1350 ; 21.9715 )
( 1400 ; 23.9432 )
( 1450 ; 26.8775 )
( 1500 ; 30.2745 )
( 1550 ; 35.7753 )
( 1600 ; 36.4461 )
( 1650 ; 40.3929 )
( 1700 ; 45.5075 )
( 1750 ; 50.8675 )
( 1800 ; 54.0383 )
( 1850 ; 57.592 )
( 1900 ; 60.4611 )
( 1950 ; 69.5551 )
( 2000 ; 72.4557 )
( 2050 ; 79.4465 )
( 2100 ; 77.0406 )
( 2150 ; 88.4224 )
( 2200 ; 90.9292 )
( 2250 ; 100.925 )
( 2300 ; 104.989 )
( 2350 ; 112.649 )
( 2400 ; 122.137 )

( 2500 ; 137.774 )
( 2750 ; 181.38 )
( 3000 ; 248.406 )
( 3250 ; 293.989 )
( 3500 ; 395.038 )
( 3750 ; 462.916 )
( 4000 ; 581.821 )
( 4250 ; 672.865 )
( 4500 ; 835.345 )
( 4750 ; 982.728 )
( 5000 ; 1198.03 )
( 5000 ; 1225.94 )
( 5250 ; 1479.09 )
( 5500 ; 1635.98 )
( 5750 ; 1826.57 )
