(	70	,	4271.081682794080000	)
(	72	,	5648.393210395820000	)
(	74	,	7443.989625803010000	)
(	76	,	9777.121333337860000	)
(	78	,	12799.040019976000000	)
(	80	,	16701.103923920100000	)
(	84	,	28174.305721704300000	)
#ADDPOINTS
(	88	,	46975.576297484300000	)
(	92	,	77468.792751064500000	)
(	96	,	126450.519778444000000	)
(	100	,	204424.312566289000000	)
(	104	,	327504.472134603000000	)
(	108	,	520243.411348529000000	)
(	112	,	819807.240797724000000	)
(	116	,	1282109.688141630000000	)
(	120	,	1990777.190116750000000	)
(	124	,	3070188.647974050000000	)
(	128	,	4704354.307795820000000	)
(	132	,	7164127.867158520000000	)
(	180	,	752377770.064303000000000
(	200	,	4414615192.264350000000000	)
