	(	4	;	1.017034285177280	)
	(	5	;	1.038140448865740	)
	(	6	;	1.072983696591420	)
	(	7	;	1.126408431177160	)
	(	8	;	1.204836324436480	)
	(	9	;	1.317234601688410	)
	(	10	;	1.476663726152400	)
	(	11	;	1.702820550916150	)
	(	12	;	2.026347040994220	)
	(	13	;	2.496362780107460	)
	(	14	;	3.194062038347150	)
	(	15	;	4.258087547558870	)
	(	16	;	5.933565159164700	)
	(	17	;	8.670440055696320	)
	(	18	;	13.328616292055100	)
	(	19	;	21.624260223614700	)
	(	20	;	37.145212771686300	)
	(	21	;	67.773852671901300	)
	(	22	;	131.768207957695000	)
	(	23	;	273.866318599748000	)
	(	24	;	610.429321339954000	)
	(	25	;	1463.824449215920000	)
	(	26	;	3788.665619608840000	)
	(	27	;	10617.267390516500000	)
	(	28	;	32318.606377061200000	)
	(	29	;	107198.502368666000000	)
	(	30	;	388689.202081274000000	)
	(	31	;	1545517.523663580000000	)
	(	32	;	6760544.932221670000000	)
	(	33	;	32636453.948569600000000	)
	(	34	;	174426897.970363000000000	)
	(	35	;	1035350680.031990000000000	)
	(	36	;	6846961056.166250000000000	)
	(	37	;	50607630990.475100000000000	)
	(	38	;	419384014942.336000000000000	)
	(	39	;	3908894581698.210000000000000	)
	(	40	;	41106388988452.600000000000000	)
	(	41	;	489264392965120.000000000000000	)
	(	42	;	6611819758228950.000000000000000	)
	(	43	;	101766371771190000.000000000000000	)
	(	44	;	1789595286949540000.000000000000000	)
	(	45	;	36068872692342700000.000000000000000	)
	(	46	;	835787884643563000000.000000000000000	)
	(	47	;	3279092263362070000000000.000000000000000	)
	(	48	;	150008876129920000000000000.000000000000000	)
(	49	;	8129606843802880000000000000.000000000000000	)
(	50	;	523855284997603000000000000000.000000000000000	)
(	51	;	40284846156242000000000000000000.000000000000000	)

#ADDPOINTS
